Province/State,Country,Date,N,varN,C,varC,R,varR,D,varD,M,varM 
,US,2020-03-07,392.2369255166101,228.52574577346417-665.6074422869168,19.44756540253093,11.262006415373634-33.11609124104626,11.09587124829673,4.107778305827487-29.07732889991624,5.954660938954025,6.7765345294626396e-09-1242755.278083164,0.028288696261022605,0.006171472920605938-0.12723874415769493
,US,2020-03-08,539.5227586590098,317.0334075023747-907.7591230814555,26.750168724013065,15.625701166181313-45.161986945135354,14.353708515978084,5.361933230603553-37.27739130847756,6.121485401670551,7.0645001145298e-09-1259499.8122440993,0.026604454187723975,0.005906779776998631-0.11758190281003222
,US,2020-03-09,742.1141207399025,439.81971695500914-1238.005262353928,36.79488419875719,21.680164009512524-61.58944127945846,18.568072802916713,6.998996942078735-47.78994172549779,6.292983581156144,7.364702659037345e-09-1276465.4715990052,0.02502050868457263,0.005653446843005278-0.10865802482971997
,US,2020-03-10,1020.7775652402305,610.1604382108061-1688.393073366207,50.611341188977924,30.080484837506702-83.99211659527676,24.019807892258935,9.135876131670923-61.26712053856568,6.46928641518704,7.67766216670828e-09-1293655.0546679923,0.023530893223153958,0.005410988872073736-0.10041149294802086
,US,2020-03-11,1404.076734876163,846.4727038804139-2302.6267489479533,69.61575725941286,41.7355557096254-114.54325796300236,31.072215366264054,11.92517049969361-78.54497631822618,6.650528509860825,8.003920738574489e-09-1311071.3920920368,0.022129998022511616,0.005178942051785901-0.09279091453056788
,US,2020-03-12,1931.2994412849623,1174.305955344518-3140.3065573101044,95.75606566663235,57.906391369610134-156.20642146788947,40.1952647393562,15.566070242909763-100.6953287709154,6.836848242366883,8.344043511991234e-09-1328717.3469111754,0.02081254925057756,0.004956863273961128-0.08574880193073141
,US,2020-03-13,2656.4831930517253,1629.1036850467399-4282.708586470081,131.71150471242285,80.3425293121736-213.02277438334067,51.99691178404556,20.318580660754478-129.09225699334948,7.028387866636635,8.698619639554675e-09-1346595.8148424602,0.019573589593959502,0.004744329493943359-0.07924127738354833
,US,2020-03-14,3653.951033808102,2260.0342448839765-5840.664283828391,181.16708910986017,111.4712496636539-290.50275161087455,67.26361200627531,26.522089677813067-165.4973371625104,7.225293621953026,9.068263309617945e-09-1364709.7245576263,0.01840846015283736,0.004540937192922957-0.07322780065706772
,US,2020-03-15,5025.92366318454,3135.304254917613-7965.30119395504,249.1910241260116,154.66005371266525-396.1599006645366,87.01272892927551,34.61960420679126-212.1689166245886,7.427715844603294,9.453614810173964e-09-1383062.0379603335,0.017312783631525008,0.0043463019619477145-0.06767091783574408
,US,2020-03-16,6912.985307957853,4349.527832173376-10862.681134806433,342.75360867346467,214.5807348842408-540.2384000158937,112.56032941174749,45.18938608214179-272.00220196629647,7.635809082659356,9.855341637946385e-09-1401655.750462894,0.016282448811539372,0.004160058232524657-0.06253602976265638
,US,2020-03-17,9508.47080362696,6033.945950892466-14813.745015644114,471.4405503108649,297.7143076741401-736.7042609117226,145.60888344641884,58.986246682100756-348.7088494143925,7.849732213974181,1.027413965461251e-08-1420493.891262381,0.015313596313602502,0.003981859186843577-0.05779117881604754
,US,2020-03-18,13078.238496036629,8370.596119234735-20201.478690443553,648.4333035982504,413.0511847581557-1004.5953133185966,188.36071203356,76.99544904971359-447.04719515261286,8.069648567483645,1.0710734292157625e-08-1439579.523616007,0.01440260567894085,0.0038113768912439467-0.053406852843532394
,US,2020-03-19,17987.83657023371,11611.955267423727-27547.89679930748,891.8559607047306,573.0618955642313-1369.8589721584192,243.66474209899292,100.50306655730684-573.117402487102,8.295726047906964,1.116588180945142e-08-1458915.7451156578,0.01354608382990368,0.003648302710348231-0.0493558052273014
